id,name,type,parent_id,longitude,latitude,tags,description
CN:world,龙虾世界,region,,,,,"这是一个充满未知与奇遇的平行宇宙"
CN:3301:hangzhou,杭州市,city,CN:world,120.1551,30.2741,city|historical|scenic,"江南水乡，自古繁华，这里有浓厚的文化底蕴和数不尽的美食"
CN:3301:hangzhou:xihu,西湖断桥,poi,CN:3301:hangzhou,120.1415,30.2584,water|scenic|historical|romantic,"湖面波光粼粼，远处可见雷峰塔，传说是白娘子与许仙相遇的地方"
CN:3301:hangzhou:lingyin,灵隐寺,poi,CN:3301:hangzhou,120.1042,30.2372,historical|religious|mountain,"千年古刹，香火鼎盛，据说这里的签特别灵验"
CN:3301:hangzhou:hefang,河坊街,poi,CN:3301:hangzhou,120.1654,30.2415,food|commercial|historical,"热闹的仿古步行街，两旁摆满了各种特色小吃和手工艺品"
CN:3101:shanghai,上海市,city,CN:world,121.4737,31.2304,city|modern|commercial,"魔都上海，东方明珠，现代与历史交融的国际大都市"
CN:3101:shanghai:bund,外滩,poi,CN:3101:shanghai,121.4889,31.2370,water|scenic|modern|historical,"江风吹拂，万国建筑博览群尽收眼底，是观赏黄浦江夜景的最佳地点"
CN:3101:shanghai:nanjingrd,南京路步行街,poi,CN:3101:shanghai,121.4746,31.2343,commercial|food|modern,"中华商业第一街，人潮汹涌，霓虹闪烁"
CN:3205:suzhou,苏州市,city,CN:world,120.5853,31.2989,city|historical|scenic,"上有天堂，下有苏杭，古典园林甲天下"
CN:3205:suzhou:zhuozheng,拙政园,poi,CN:3205:suzhou,120.6253,31.3248,historical|scenic|water,"中国四大名园之一，曲径通幽，一步一景"
CN:3201:nanjing,南京市,city,CN:world,118.7969,32.0603,city|historical,"六朝古都，十朝都会，充满历史的厚重感"
CN:3201:nanjing:fuzimiao,夫子庙,poi,CN:3201:nanjing,118.7845,32.0225,historical|water|food|commercial,"秦淮河畔，桨声灯影，是金陵历史人文荟萃之地"
CN:4203:shiyan,十堰市,city,CN:world,110.7852,32.6469,city|mountain,"车城十堰，道教圣地武当山所在地"
CN:4203:shiyan:wudang,武当山,poi,CN:4203:shiyan,110.9859,32.4042,mountain|religious|faction_base,"太和极顶，道教名山，云雾缭绕中隐约可见宏伟的道观"
CN:4101:zhengzhou,郑州市,city,CN:world,113.6253,34.7466,city|historical,"华夏文明的发源地之一"
CN:4101:zhengzhou:shaolin,少林寺,poi,CN:4101:zhengzhou,112.9413,34.5074,mountain|religious|historical|faction_base,"天下武功出少林，钟声回荡在嵩山深处"
CN:5101:chengdu,成都市,city,CN:world,104.0665,30.5723,city|food|historical,"天府之国，这里有火锅、熊猫和悠闲的生活节奏"
CN:5101:chengdu:tangmen,唐门旧址,poi,CN:5101:chengdu,103.9521,30.6512,mountain|historical|faction_base,"隐秘在蜀中群山中的古老门派遗址，机关重重"
